VEHICLE_TAG,REPORT_TIME,PATTERN_MEASURE,PATTERN_OFFSET,TRIP_TAG,PATTERN_NAME,ROUTE,PATTERN_MEASURE_1,TRAPEZE_PATTERN_NAME,REPORT_HOUR,REPORT_MINUTE,LONGITUDE,LATITUDE
"5430","2/5/2015 6:36:45. AM","9512.89968902501","-3.63885343811964","6542401","24___I_F00","24","9512.89968902501","24   I F00","6","36","-122.43964","37.78428"
"5435","2/5/2015 6:36:49. AM","2716.64924343394","4.63084477471819","6542403","24___I_F00","24","2716.64924343394","24   I F00","6","36","-122.4137","37.73891"
"5463","2/5/2015 6:36:52. AM","5425.17233087509","-2.05614857793069","6542402","24___I_F00","24","5425.17233087509","24   I F00","6","36","-122.43363","37.74813"
"5430","2/5/2015 6:37:32. AM","9707.57942312294","-1.94767855556397","6542401","24___I_F00","24","9707.57942312294","24   I F00","6","37","-122.44001","37.78601"
"5463","2/5/2015 6:37:47. AM","5622.77172202365","-3.00244516254069","6542402","24___I_F00","24","5622.77172202365","24   I F00","6","37","-122.43391","37.74976"
"5429","2/5/2015 6:37:53. AM","1217.76323777587","-0.197330813409093","6542419","24___I_F00","24","1217.76323777587","24   I F00","6","37","-122.39972","37.73898"
"5435","2/5/2015 6:37:55. AM","2951.1581889442","1.70719921035647","6542403","24___I_F00","24","2951.1581889442","24   I F00","6","37","-122.41635","37.73903"
"5437","2/5/2015 6:38:08. AM","10800.9253813455","-32.8699459276777","6542315","24___I_F00","24","10800.9253813455","24   I F00","6","38","-122.39069","37.7344099"
"5435","2/5/2015 6:38:27. AM","3114.42374025374","2.59743016153493","6542403","24___I_F00","24","3114.42374025374","24   I F00","6","38","-122.41819","37.7391999"
"5463","2/5/2015 6:38:57. AM","5817.65291576536","-2.3664942698324","6542402","24___I_F00","24","5817.65291576536","24   I F00","6","38","-122.43409","37.75151"
"5430","2/5/2015 6:38:59. AM","9898.33492235704","3.14915896575896","6542401","24___I_F00","24","9898.33492235704","24   I F00","6","38","-122.44041","37.7877"
"5429","2/5/2015 6:38:59. AM","1839.9724889792","-8.39110250073475","6542419","24___I_F00","24","1839.9724889792","24   I F00","6","38","-122.40621","37.73825"
"5437","2/5/2015 6:39:36. AM","10800.9253813455","-32.8699459276777","6542315","24___I_F00","24","10800.9253813455","24   I F00","6","39","-122.39069","37.7344099"
"5435","2/5/2015 6:39:39. AM","3517.47326429841","2.63971382574697","6542403","24___I_F00","24","3517.47326429841","24   I F00","6","39","-122.4223","37.74078"
"5430","2/5/2015 6:39:45. AM","10095.324347214","5.0449953764823","6542401","24___I_F00","24","10095.324347214","24   I F00","6","39","-122.44078","37.78945"
"5463","2/5/2015 6:39:55. AM","6079.27612056459","-1.96161964948806","6542402","24___I_F00","24","6079.27612056459","24   I F00","6","39","-122.43432","37.75386"
"5430","2/5/2015 6:40:28. AM","10293.1833746019","4.91075885561989","6542401","24___I_F00","24","10293.1833746019","24   I F00","6","40","-122.44114","37.79121"
"5429","2/5/2015 6:40:51. AM","2333.1190653912","-1.95753748672324","6542419","24___I_F00","24","2333.1190653912","24   I F00","6","40","-122.40972","37.73975"
"5463","2/5/2015 6:40:58. AM","6418.74671099573","-1.47848115430984","6542402","24___I_F00","24","6418.74671099573","24   I F00","6","40","-122.43461","37.75691"
"5435","2/5/2015 6:40:58. AM","3593.98016789724","1.73098391832458","6542403","24___I_F00","24","3593.98016789724","24   I F00","6","40","-122.42276","37.7412"
"5437","2/5/2015 6:41:07. AM","10800.9253813455","-32.8699459276777","6542315","24___I_F00","24","10800.9253813455","24   I F00","6","41","-122.39069","37.7344099"
"5463","2/5/2015 6:41:32. AM","6619.16783698019","-0.88137012757514","6542402","24___I_F00","24","6619.16783698019","24   I F00","6","41","-122.43479","37.75871"
"5429","2/5/2015 6:41:56. AM","2552.12027684252","-0.848951855900867","6542419","24___I_F00","24","2552.12027684252","24   I F00","6","41","-122.41212","37.73965"
"5430","2/5/2015 6:42:02. AM","10720.3335446154","-2.46238700265028","6542401","24___I_F00","24","10720.3335446154","24   I F00","6","42","-122.43689","37.79215"
"5435","2/5/2015 6:42:25. AM","3849.48471610066","-5.8357480528131","6542403","24___I_F00","24","3849.48471610066","24   I F00","6","42","-122.4232","37.74236"
"5429","2/5/2015 6:42:33. AM","2730.23599975926","-2.07358118674609","6542419","24___I_F00","24","2730.23599975926","24   I F00","6","42","-122.41386","37.73896"
"5437","2/5/2015 6:42:36. AM","10800.9253813455","-32.8699459276777","6542315","24___I_F00","24","10800.9253813455","24   I F00","6","42","-122.39069","37.7344099"
"5430","2/5/2015 6:42:46. AM","10910.5151132501","-1.23665498919643","6542401","24___I_F00","24","10910.5151132501","24   I F00","6","42","-122.43476","37.79243"
"5463","2/5/2015 6:42:55. AM","7011.00453200159","-0.257336538346728","6542402","24___I_F00","24","7011.00453200159","24   I F00","6","42","-122.43513","37.76223"
"5430","2/5/2015 6:43:08. AM","10966.2622597854","0.481997117936586","6542401","24___I_F00","24","10966.2622597854","24   I F00","6","43","-122.43449","37.79213"
"5429","2/5/2015 6:43:26. AM","2955.27325903378","-3.424920665493","6542419","24___I_F00","24","2955.27325903378","24   I F00","6","43","-122.41639","37.73908"
"5435","2/5/2015 6:43:57. AM","4232.56580792113","-2.42917018663612","6542403","24___I_F00","24","4232.56580792113","24   I F00","6","43","-122.42753","37.74206"
"5437","2/5/2015 6:44:05. AM","10800.9253813455","-32.8699459276777","6542315","24___I_F00","24","10800.9253813455","24   I F00","6","44","-122.39069","37.7344099"
